"Longitude","Latitude","Timeslice","Ice_ensemble"
-82.5,46.388557434082,21,"Ice-sheet"
-78.75,46.388557434082,21,"Ice-sheet"
-75,46.388557434082,21,"Ice-sheet"
-71.25,46.388557434082,21,"Ice-sheet"
-67.5,46.388557434082,21,"Ice-sheet"
-63.75,46.388557434082,21,"Ice-sheet"
-60,46.388557434082,21,"Ice-sheet"
-56.25,46.388557434082,21,"Ice-sheet"
-52.5,46.388557434082,21,"Ice-sheet"
-97.5,42.677604675293,21,"Ice-sheet"
-86.25,42.677604675293,21,"Ice-sheet"
-82.5,42.677604675293,21,"Ice-sheet"
-78.75,42.677604675293,21,"Ice-sheet"
-75,42.677604675293,21,"Ice-sheet"
-71.25,42.677604675293,21,"Ice-sheet"
-67.5,42.677604675293,21,"Ice-sheet"
-75,-46.388557434082,21,"Ice-sheet"
-75,-50.0994529724121,21,"Ice-sheet"
-71.25,-53.8102722167969,21,"Ice-sheet"
-63.75,-64.9419479370117,21,"Ice-sheet"
-60,-64.9419479370117,21,"Ice-sheet"
33.75,-68.6520156860352,21,"Ice-sheet"
41.25,-68.6520156860352,21,"Ice-sheet"
45,-68.6520156860352,21,"Ice-sheet"
48.75,-68.6520156860352,21,"Ice-sheet"
52.5,-68.6520156860352,21,"Ice-sheet"
56.25,-68.6520156860352,21,"Ice-sheet"
60,-68.6520156860352,21,"Ice-sheet"
63.75,-68.6520156860352,21,"Ice-sheet"
67.5,-68.6520156860352,21,"Ice-sheet"
78.75,-68.6520156860352,21,"Ice-sheet"
82.5,-68.6520156860352,21,"Ice-sheet"
86.25,-68.6520156860352,21,"Ice-sheet"
90,-68.6520156860352,21,"Ice-sheet"
93.75,-68.6520156860352,21,"Ice-sheet"
97.5,-68.6520156860352,21,"Ice-sheet"
101.25,-68.6520156860352,21,"Ice-sheet"
105,-68.6520156860352,21,"Ice-sheet"
108.75,-68.6520156860352,21,"Ice-sheet"
112.5,-68.6520156860352,21,"Ice-sheet"
116.25,-68.6520156860352,21,"Ice-sheet"
120,-68.6520156860352,21,"Ice-sheet"
123.75,-68.6520156860352,21,"Ice-sheet"
127.5,-68.6520156860352,21,"Ice-sheet"
131.25,-68.6520156860352,21,"Ice-sheet"
135,-68.6520156860352,21,"Ice-sheet"
138.75,-68.6520156860352,21,"Ice-sheet"
142.5,-68.6520156860352,21,"Ice-sheet"
146.25,-68.6520156860352,21,"Ice-sheet"
150,-68.6520156860352,21,"Ice-sheet"
153.75,-68.6520156860352,21,"Ice-sheet"
-67.5,-68.6520156860352,21,"Ice-sheet"
-63.75,-68.6520156860352,21,"Ice-sheet"
0,-72.3615798950195,21,"Ice-sheet"
3.75,-72.3615798950195,21,"Ice-sheet"
7.5,-72.3615798950195,21,"Ice-sheet"
11.25,-72.3615798950195,21,"Ice-sheet"
15,-72.3615798950195,21,"Ice-sheet"
18.75,-72.3615798950195,21,"Ice-sheet"
22.5,-72.3615798950195,21,"Ice-sheet"
26.25,-72.3615798950195,21,"Ice-sheet"
30,-72.3615798950195,21,"Ice-sheet"
33.75,-72.3615798950195,21,"Ice-sheet"
37.5,-72.3615798950195,21,"Ice-sheet"
41.25,-72.3615798950195,21,"Ice-sheet"
45,-72.3615798950195,21,"Ice-sheet"
48.75,-72.3615798950195,21,"Ice-sheet"
52.5,-72.3615798950195,21,"Ice-sheet"
56.25,-72.3615798950195,21,"Ice-sheet"
60,-72.3615798950195,21,"Ice-sheet"
63.75,-72.3615798950195,21,"Ice-sheet"
67.5,-72.3615798950195,21,"Ice-sheet"
71.25,-72.3615798950195,21,"Ice-sheet"
75,-72.3615798950195,21,"Ice-sheet"
78.75,-72.3615798950195,21,"Ice-sheet"
82.5,-72.3615798950195,21,"Ice-sheet"
86.25,-72.3615798950195,21,"Ice-sheet"
90,-72.3615798950195,21,"Ice-sheet"
93.75,-72.3615798950195,21,"Ice-sheet"
97.5,-72.3615798950195,21,"Ice-sheet"
101.25,-72.3615798950195,21,"Ice-sheet"
105,-72.3615798950195,21,"Ice-sheet"
108.75,-72.3615798950195,21,"Ice-sheet"
112.5,-72.3615798950195,21,"Ice-sheet"
116.25,-72.3615798950195,21,"Ice-sheet"
120,-72.3615798950195,21,"Ice-sheet"
123.75,-72.3615798950195,21,"Ice-sheet"
127.5,-72.3615798950195,21,"Ice-sheet"
131.25,-72.3615798950195,21,"Ice-sheet"
135,-72.3615798950195,21,"Ice-sheet"
138.75,-72.3615798950195,21,"Ice-sheet"
142.5,-72.3615798950195,21,"Ice-sheet"
146.25,-72.3615798950195,21,"Ice-sheet"
150,-72.3615798950195,21,"Ice-sheet"
153.75,-72.3615798950195,21,"Ice-sheet"
157.5,-72.3615798950195,21,"Ice-sheet"
161.25,-72.3615798950195,21,"Ice-sheet"
165,-72.3615798950195,21,"Ice-sheet"
168.75,-72.3615798950195,21,"Ice-sheet"
-101.25,-72.3615798950195,21,"Ice-sheet"
-97.5,-72.3615798950195,21,"Ice-sheet"
-78.75,-72.3615798950195,21,"Ice-sheet"
-75,-72.3615798950195,21,"Ice-sheet"
-71.25,-72.3615798950195,21,"Ice-sheet"
-67.5,-72.3615798950195,21,"Ice-sheet"
-63.75,-72.3615798950195,21,"Ice-sheet"
-60,-72.3615798950195,21,"Ice-sheet"
-15,-72.3615798950195,21,"Ice-sheet"
-11.25,-72.3615798950195,21,"Ice-sheet"
-7.5,-72.3615798950195,21,"Ice-sheet"
-3.75,-72.3615798950195,21,"Ice-sheet"
0,-76.0702438354492,21,"Ice-sheet"
3.75,-76.0702438354492,21,"Ice-sheet"
7.5,-76.0702438354492,21,"Ice-sheet"
11.25,-76.0702438354492,21,"Ice-sheet"
15,-76.0702438354492,21,"Ice-sheet"
18.75,-76.0702438354492,21,"Ice-sheet"
22.5,-76.0702438354492,21,"Ice-sheet"
26.25,-76.0702438354492,21,"Ice-sheet"
30,-76.0702438354492,21,"Ice-sheet"
33.75,-76.0702438354492,21,"Ice-sheet"
37.5,-76.0702438354492,21,"Ice-sheet"
41.25,-76.0702438354492,21,"Ice-sheet"
45,-76.0702438354492,21,"Ice-sheet"
48.75,-76.0702438354492,21,"Ice-sheet"
52.5,-76.0702438354492,21,"Ice-sheet"
56.25,-76.0702438354492,21,"Ice-sheet"
60,-76.0702438354492,21,"Ice-sheet"
63.75,-76.0702438354492,21,"Ice-sheet"
67.5,-76.0702438354492,21,"Ice-sheet"
71.25,-76.0702438354492,21,"Ice-sheet"
75,-76.0702438354492,21,"Ice-sheet"
78.75,-76.0702438354492,21,"Ice-sheet"
82.5,-76.0702438354492,21,"Ice-sheet"
86.25,-76.0702438354492,21,"Ice-sheet"
90,-76.0702438354492,21,"Ice-sheet"
93.75,-76.0702438354492,21,"Ice-sheet"
97.5,-76.0702438354492,21,"Ice-sheet"
101.25,-76.0702438354492,21,"Ice-sheet"
105,-76.0702438354492,21,"Ice-sheet"
108.75,-76.0702438354492,21,"Ice-sheet"
112.5,-76.0702438354492,21,"Ice-sheet"
116.25,-76.0702438354492,21,"Ice-sheet"
120,-76.0702438354492,21,"Ice-sheet"
123.75,-76.0702438354492,21,"Ice-sheet"
127.5,-76.0702438354492,21,"Ice-sheet"
131.25,-76.0702438354492,21,"Ice-sheet"
135,-76.0702438354492,21,"Ice-sheet"
138.75,-76.0702438354492,21,"Ice-sheet"
142.5,-76.0702438354492,21,"Ice-sheet"
146.25,-76.0702438354492,21,"Ice-sheet"
150,-76.0702438354492,21,"Ice-sheet"
153.75,-76.0702438354492,21,"Ice-sheet"
157.5,-76.0702438354492,21,"Ice-sheet"
161.25,-76.0702438354492,21,"Ice-sheet"
165,-76.0702438354492,21,"Ice-sheet"
168.75,-76.0702438354492,21,"Ice-sheet"
172.5,-76.0702438354492,21,"Ice-sheet"
176.25,-76.0702438354492,21,"Ice-sheet"
180,-76.0702438354492,21,"Ice-sheet"
-146.25,-76.0702438354492,21,"Ice-sheet"
-142.5,-76.0702438354492,21,"Ice-sheet"
-138.75,-76.0702438354492,21,"Ice-sheet"
-135,-76.0702438354492,21,"Ice-sheet"
-131.25,-76.0702438354492,21,"Ice-sheet"
-127.5,-76.0702438354492,21,"Ice-sheet"
-123.75,-76.0702438354492,21,"Ice-sheet"
-120,-76.0702438354492,21,"Ice-sheet"
-116.25,-76.0702438354492,21,"Ice-sheet"
-112.5,-76.0702438354492,21,"Ice-sheet"
-108.75,-76.0702438354492,21,"Ice-sheet"
-105,-76.0702438354492,21,"Ice-sheet"
-101.25,-76.0702438354492,21,"Ice-sheet"
-97.5,-76.0702438354492,21,"Ice-sheet"
-93.75,-76.0702438354492,21,"Ice-sheet"
-90,-76.0702438354492,21,"Ice-sheet"
-86.25,-76.0702438354492,21,"Ice-sheet"
-82.5,-76.0702438354492,21,"Ice-sheet"
-78.75,-76.0702438354492,21,"Ice-sheet"
-75,-76.0702438354492,21,"Ice-sheet"
-71.25,-76.0702438354492,21,"Ice-sheet"
-67.5,-76.0702438354492,21,"Ice-sheet"
-63.75,-76.0702438354492,21,"Ice-sheet"
-60,-76.0702438354492,21,"Ice-sheet"
-56.25,-76.0702438354492,21,"Ice-sheet"
-52.5,-76.0702438354492,21,"Ice-sheet"
-48.75,-76.0702438354492,21,"Ice-sheet"
-41.25,-76.0702438354492,21,"Ice-sheet"
-37.5,-76.0702438354492,21,"Ice-sheet"
-33.75,-76.0702438354492,21,"Ice-sheet"
-30,-76.0702438354492,21,"Ice-sheet"
-26.25,-76.0702438354492,21,"Ice-sheet"
-22.5,-76.0702438354492,21,"Ice-sheet"
-18.75,-76.0702438354492,21,"Ice-sheet"
-15,-76.0702438354492,21,"Ice-sheet"
-11.25,-76.0702438354492,21,"Ice-sheet"
-7.5,-76.0702438354492,21,"Ice-sheet"
-3.75,-76.0702438354492,21,"Ice-sheet"
0,-79.7770462036133,21,"Ice-sheet"
3.75,-79.7770462036133,21,"Ice-sheet"
7.5,-79.7770462036133,21,"Ice-sheet"
11.25,-79.7770462036133,21,"Ice-sheet"
15,-79.7770462036133,21,"Ice-sheet"
18.75,-79.7770462036133,21,"Ice-sheet"
22.5,-79.7770462036133,21,"Ice-sheet"
26.25,-79.7770462036133,21,"Ice-sheet"
30,-79.7770462036133,21,"Ice-sheet"
33.75,-79.7770462036133,21,"Ice-sheet"
37.5,-79.7770462036133,21,"Ice-sheet"
41.25,-79.7770462036133,21,"Ice-sheet"
45,-79.7770462036133,21,"Ice-sheet"
48.75,-79.7770462036133,21,"Ice-sheet"
52.5,-79.7770462036133,21,"Ice-sheet"
56.25,-79.7770462036133,21,"Ice-sheet"
60,-79.7770462036133,21,"Ice-sheet"
63.75,-79.7770462036133,21,"Ice-sheet"
67.5,-79.7770462036133,21,"Ice-sheet"
71.25,-79.7770462036133,21,"Ice-sheet"
75,-79.7770462036133,21,"Ice-sheet"
78.75,-79.7770462036133,21,"Ice-sheet"
82.5,-79.7770462036133,21,"Ice-sheet"
86.25,-79.7770462036133,21,"Ice-sheet"
90,-79.7770462036133,21,"Ice-sheet"
93.75,-79.7770462036133,21,"Ice-sheet"
97.5,-79.7770462036133,21,"Ice-sheet"
101.25,-79.7770462036133,21,"Ice-sheet"
105,-79.7770462036133,21,"Ice-sheet"
108.75,-79.7770462036133,21,"Ice-sheet"
112.5,-79.7770462036133,21,"Ice-sheet"
116.25,-79.7770462036133,21,"Ice-sheet"
120,-79.7770462036133,21,"Ice-sheet"
123.75,-79.7770462036133,21,"Ice-sheet"
127.5,-79.7770462036133,21,"Ice-sheet"
131.25,-79.7770462036133,21,"Ice-sheet"
135,-79.7770462036133,21,"Ice-sheet"
138.75,-79.7770462036133,21,"Ice-sheet"
142.5,-79.7770462036133,21,"Ice-sheet"
146.25,-79.7770462036133,21,"Ice-sheet"
150,-79.7770462036133,21,"Ice-sheet"
153.75,-79.7770462036133,21,"Ice-sheet"
157.5,-79.7770462036133,21,"Ice-sheet"
