"Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Pollen.based.Reconstruction","MPI.ESM_GLAC1D","MPI.ESM_ICE6G","CLIMBER.X_GLAC1D","CLIMBER.X_ICE6G","TRACE.21K.I_ICE5G","TRACE.21K.II_ICE5G"
1391,"Joes Pond",48.24,-58.24,100,"North America",4,3,3,3,3,8,4
1393,"Tourbière du lac Joncas",47.25778,-71.1628,747,"North America",3,3,3,3,3,4,4
1397,"Tourbière de Lanoraie JOSEPH",45.99194,-73.3028,18,"North America",3,3,3,3,3,4,4
1432,"Kaiyak Lake",68.14,-161.44,190,"North America",4,8,8,4,4,8,8
1434,"Kalsa Mire",58.19142,27.41146,38,"Europe",4,3,3,3,3,4,4
1435,"Kameničky",49.72651,15.97089,624,"Europe",3,3,3,3,3,4,4
1437,"Kanaaupscow",54.02778,-76.6439,200,"North America",4,4,4,3,3,8,4
1438,"Kansjön",57.64055,14.53458,308,"Europe",3,3,3,3,3,6,4
1439,"Karasye Lake",53.03,70.22,435,"Asia",8,6,3,3,3,6,6
1440,"Kardashinski Swamp",46.51667,32.61667,4,"Europe",8,6,3,6,6,4,4
1442,"Kargopolovo Exposure",55,83,75,"Asia",3,4,3,3,3,6,6
1443,"Katantica",-14.8,-69.1833,4820,"South America",8,5,2,1,1,1,3
1445,"Keele Lake",64.16,-127.6,1150,"North America",4,4,4,4,6,8,8
1447,"Kellys Hollow",45.3,-90.35,470,"North America",3,3,3,3,3,4,4
1448,"Kellners Lake",44.24,-87.85,261,"North America",3,3,3,3,3,7,7
1451,"Lac Kénogami",48.32,-71.39,166,"North America",4,4,3,3,3,6,4
1520,"Kirchner Marsh",44.77085,-93.1226,286,"North America",3,3,3,3,3,4,4
1523,"Kirk Lake",48.24,-121.62,190,"North America",4,4,4,3,3,4,4
1524,"Kitchner Lake",45.66667,-87.455,237,"North America",3,3,3,3,3,4,4
1543,"Komaritsa Peat Exposure",57.5,69,42,"Asia",3,4,4,3,3,8,4
1549,"Kotyrkol' Peat Bog",52.96222,70.38044,439,"Asia",4,6,3,3,3,6,6
1568,"Lacawac",41.38215,-75.2913,443,"North America",3,3,3,3,3,4,7
1569,"Lac Colin",46.72,-70.29,658,"North America",3,3,3,3,3,4,4
1571,"Lac Louis",47.28,-79.11,300,"North America",3,3,3,3,3,4,4
1574,"Ladd Lake",41.42,-84.76,249,"North America",3,3,3,3,3,7,7
1577,"Lago de Ajo",43.04169,-6.13878,1570,"Europe",3,6,6,3,3,3,3
1579,"Laguna Salinas",-16.4,-71.15,4300,"South America",8,6,5,1,1,2,2
1581,"Lake 27",45.05,-84.79,411,"North America",3,3,3,3,3,4,4
1587,"Lake BN7",55.00917,-73.5167,395,"North America",4,4,4,4,3,8,4
1590,"Lake CH2",49.68333,-74.5833,830,"North America",3,3,3,3,3,6,4
1591,"Lake EC1",56.28333,-75.1,250,"North America",4,4,4,4,4,8,6
1592,"Lake EC2",56.02464,-74.9465,300,"North America",4,4,4,4,3,8,6
1594,"Lake GB1",55.11083,-75.2489,325,"North America",4,4,4,4,4,8,4
1595,"Lake GB2",56.1,-75.2833,300,"North America",4,4,4,4,4,8,6
1598,"Lake LB1",57.91667,-75.6167,200,"North America",4,4,4,4,4,8,6
1599,"Lake LR1",58.58333,-75.25,170,"North America",4,4,4,4,4,8,6
1601,"Lake LR3",58.57833,-75.245,160,"North America",4,4,4,4,4,8,6
1603,"Lake LT1",58.14167,-75.15,150,"North America",4,4,4,4,4,8,6
1604,"Lake PWWL",73.59139,-98.5389,110,"North America",8,8,8,4,4,8,8
1606,"Lake QC",46.82833,-80.6983,333,"North America",3,3,3,3,3,4,4
1607,"Lake Six",48.4,-81.3167,305,"North America",4,3,3,3,3,4,4
1610,"La Mision",-53.5,-67.8333,5,"South America",6,4,4,4,7,3,3
1611,"L'Anse aux Meadows Site",51.57333,-55.55,5,"North America",4,4,4,3,3,8,4
1615,"Tourbière de Lanoraie STJEAN",46,-73.2169,20,"North America",3,3,3,3,3,4,4
1617,"Lateral Pond",65.94222,-135.514,470,"North America",4,8,8,4,8,8,8
1621,"Lago do Pires",-17.9479,-42.2115,390,"South America",1,3,2,1,1,6,6
1622,"Leading Tickles",49.47133,-55.473,105,"North America",4,4,4,3,3,8,4
1630,"Lake George",-35.0897,149.4293,673,"Indopacific",2,6,7,6,6,6,6
1631,"Laguna Huatacocha",-10.7836,-76.5946,4500,"South America",6,2,5,1,1,1,1
1632,"Lily Lake",59.2,-135.39,230,"North America",4,6,6,4,4,8,8
1633,"Lily Lake",45.04816,-92.8239,258,"North America",3,3,3,3,3,4,4
1635,"Lily Lake",43.77,-110.33,2469,"North America",4,6,6,6,6,6,6
1639,"Little Bass Lake",47.286,-93.6005,391,"North America",3,3,3,3,3,4,4
1642,"Little Lake",44.16658,-123.584,217,"North America",4,3,3,6,6,4,6
1646,"Laguna Jeronimo",-11.7833,-75.2167,4450,"South America",1,3,5,1,1,1,3
1648,"Lake Annie",27.20731,-81.3509,34,"North America",2,2,5,1,7,2,2
1650,"Lake Hope Simpson",52.44715,-56.431,295,"North America",4,4,4,3,3,8,6
1656,"Lofty Lake",54.72528,-112.481,620,"North America",4,4,4,3,3,8,4
1657,"Lone Fox Lake",56.71667,-119.717,1100,"North America",4,4,4,4,3,8,8
1659,"Long Lake (CA:Nunavut)",62.6,-101.24,259,"North America",4,4,4,4,4,8,8
1661,"Longswamp",40.49095,-75.6697,192,"North America",3,6,6,3,3,6,6
1663,"Loon Pond",45.04,-68.2,110,"North America",3,3,3,3,6,4,6
1666,"Lost Lake",47.63516,-110.484,1019,"North America",4,3,3,3,3,4,4
1667,"Lost P.",44.25,-71.25,635,"North America",3,3,3,2,2,4,6
1670,"Louise Pond",52.94643,-131.764,650,"North America",4,4,6,4,4,8,8
1671,"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)",26.48111,-80.4156,5,"North America",2,2,5,1,7,2,2
1674,"Laguna Pomacocha",-11.75,-75.25,4450,"South America",1,3,5,1,1,1,3
1679,"Laguna Tuctua",-11.6667,-75,4250,"South America",1,3,5,1,1,1,3
1684,"Lynn Lake",56.84167,-101.042,340,"North America",4,4,3,3,3,8,4
1687,"Lake Madjagara",64.83333,120.9667,160,"Asia",4,4,4,3,3,8,8
1698,"Mansell Pond",45.04,-68.73,58,"North America",3,3,3,3,6,4,6
1701,"Maplehurst Lake",43.225,-80.6597,300,"North America",3,3,3,3,3,6,7
1703,"Lac Marcotte",47.05,-71.4,503,"North America",3,3,3,3,3,4,4
1704,"M Lake",68.26667,-133.467,105,"North America",4,4,4,4,4,8,8
1705,"Marion Lake",49.30833,-122.547,305,"North America",3,4,4,3,3,8,4
1707,"Mariposa Lake",44.15,-110.24,2730,"North America",4,6,6,6,6,6,6
1709,"Lac Martyne",56.78,-64.83,365,"North America",4,4,4,4,3,8,8
1711,"Lago Mascardi-Gutierrez",-41.25,-71.4667,800,"South America",6,3,3,3,3,3,3
1716,"Sud du Lac du Noyer",46.78778,-72.8378,270,"North America",3,3,3,3,3,4,4
1719,"McCarston's Lake",45.05,-80.09,433,"North America",3,3,3,3,3,4,4
1724,"McMaster Lake",64.13333,-110.583,480,"North America",4,4,4,4,4,8,8
1725,"McNearney Lake",46.42694,-84.952,264,"North America",3,3,3,3,3,4,4
1733,"Lac Mélèze",65.21,-126.13,650,"North America",4,4,4,4,4,8,8
1735,"Lake Mendota",43.1,-89.4167,257,"North America",3,3,3,3,3,7,6
1762,"Molas Pass Bog",37.73778,-107.698,3220,"North America",3,6,6,7,7,6,6
1763,"Monhegan Island Meadow",43.76667,-69.3,3,"North America",3,3,3,2,2,4,4
1766,"Montezuma Well",34.6492,-111.752,1081,"North America",3,6,6,6,6,6,6
1768,"Moon Lake",46.85592,-98.1598,444,"North America",3,3,3,3,3,4,4
1769,"18 [Moraine Lake]",52.26667,-58.05,385,"North America",4,4,4,3,3,8,6
1770,"Mordsger Lake",51.38333,-94.25,400,"North America",3,3,3,3,3,6,6
1771,"Moreno Glacier Bog",-50.4667,-73,200,"South America",4,4,4,4,4,3,3
1773,"Moulton Pond",44.6275,-68.6392,143,"North America",3,3,3,2,2,4,6
1776,"Mud Lake",29.29993,-81.866,9,"North America",2,2,5,1,7,2,2
1778,"Mud Lake",46.85894,-94.7554,424,"North America",3,3,3,3,3,4,4
1780,"Munday Creek",60.03333,-141.967,88,"North America",4,8,8,4,4,8,8
1783,"Muskox Lake",71.78333,-122.667,305,"North America",4,8,8,8,8,8,8
1786,"Myrtle Lake",47.98261,-93.3853,393,"North America",4,3,3,3,3,4,4
1788,"Natla Bog",63.01667,-128.8,1380,"North America",4,8,8,4,6,8,8
1789,"Natural Lake",34.66333,-95.3861,170,"North America",3,2,6,2,2,6,6
1791,"Nedlouc",57.65,-71.65,330,"North America",4,4,4,4,3,8,8
1793,"Nels Lake",48.024,-91.892,428,"North America",4,3,3,3,3,4,4
1807,"Nina Lake",46.6,-81.5,380,"North America",3,3,3,3,3,4,4
1810,"Nizhnevartovskoye Exposure",61.25,77,55,"Asia",3,4,4,3,3,8,8
1814,"No Bottom Pond",41.28333,-70.2083,6,"North America",3,3,3,2,2,4,6
1817,"North Pond",42.65171,-73.0534,586,"North America",3,3,3,2,2,4,6
1820,"Nutt Lake",45.21,-79.45,305,"North America",3,3,3,3,3,4,4
1824,"West Okoboji Lake",43.38,-95.16,426,"North America",2,3,3,3,6,7,7
1829,"Oliver Pond",48.42222,-89.3239,250,"North America",3,3,3,3,3,4,6
1831,"Ondris Pond",46.34159,-94.408,363,"North America",3,3,3,3,3,4,4
1840,"Otto Mielke Lake",45.92475,-89.6259,495,"North America",4,3,3,3,3,4,4
1841,"Lac Ouellet",47.53278,-68.9439,300,"North America",3,3,3,3,6,4,6
1843,"Ovrazhnyii-1 Stream Exposure",43.25,134.5667,8,"Asia",3,4,3,2,2,4,4
1845,"Ozerki",50.41667,80.46667,227,"Asia",3,3,3,3,3,8,7
1849,"Paradise Lake",53.05,-57.75,180,"North America",4,4,4,3,3,8,6
