"Longitude","Latitude","PNV_MPI_ESM_V3_GLAC1D"
-75,79.7770462036133,8
-71.25,79.7770462036133,NA
-67.5,79.7770462036133,NA
-63.75,79.7770462036133,NA
-60,79.7770462036133,NA
-56.25,79.7770462036133,NA
-52.5,79.7770462036133,NA
-48.75,79.7770462036133,NA
-45,79.7770462036133,NA
-41.25,79.7770462036133,NA
-37.5,79.7770462036133,NA
-33.75,79.7770462036133,NA
-30,79.7770462036133,NA
-26.25,79.7770462036133,NA
-22.5,79.7770462036133,NA
-18.75,79.7770462036133,NA
-15,79.7770462036133,NA
-11.25,79.7770462036133,NA
-7.5,79.7770462036133,NA
-3.75,79.7770462036133,NA
0,76.0702438354492,NA
3.75,76.0702438354492,NA
7.5,76.0702438354492,NA
11.25,76.0702438354492,NA
15,76.0702438354492,NA
18.75,76.0702438354492,NA
22.5,76.0702438354492,NA
26.25,76.0702438354492,NA
30,76.0702438354492,NA
33.75,76.0702438354492,NA
37.5,76.0702438354492,NA
41.25,76.0702438354492,NA
45,76.0702438354492,NA
48.75,76.0702438354492,NA
52.5,76.0702438354492,NA
56.25,76.0702438354492,8
60,76.0702438354492,8
63.75,76.0702438354492,NA
67.5,76.0702438354492,NA
71.25,76.0702438354492,NA
75,76.0702438354492,NA
78.75,76.0702438354492,8
82.5,76.0702438354492,NA
86.25,76.0702438354492,8
90,76.0702438354492,8
93.75,76.0702438354492,8
97.5,76.0702438354492,8
101.25,76.0702438354492,8
105,76.0702438354492,8
108.75,76.0702438354492,8
112.5,76.0702438354492,8
116.25,76.0702438354492,NA
120,76.0702438354492,NA
123.75,76.0702438354492,NA
127.5,76.0702438354492,NA
131.25,76.0702438354492,NA
135,76.0702438354492,8
138.75,76.0702438354492,8
142.5,76.0702438354492,8
146.25,76.0702438354492,8
150,76.0702438354492,8
153.75,76.0702438354492,NA
157.5,76.0702438354492,NA
161.25,76.0702438354492,NA
165,76.0702438354492,NA
168.75,76.0702438354492,NA
172.5,76.0702438354492,NA
176.25,76.0702438354492,NA
180,76.0702438354492,NA
-176.25,76.0702438354492,NA
-172.5,76.0702438354492,NA
-168.75,76.0702438354492,NA
-165,76.0702438354492,NA
-161.25,76.0702438354492,NA
-157.5,76.0702438354492,NA
-153.75,76.0702438354492,NA
-150,76.0702438354492,NA
-146.25,76.0702438354492,NA
-142.5,76.0702438354492,NA
-138.75,76.0702438354492,NA
-135,76.0702438354492,NA
-131.25,76.0702438354492,NA
-127.5,76.0702438354492,NA
-123.75,76.0702438354492,8
-120,76.0702438354492,8
-116.25,76.0702438354492,8
-112.5,76.0702438354492,8
-108.75,76.0702438354492,8
-105,76.0702438354492,8
-101.25,76.0702438354492,8
-97.5,76.0702438354492,8
-93.75,76.0702438354492,8
-90,76.0702438354492,8
-86.25,76.0702438354492,8
-82.5,76.0702438354492,8
-78.75,76.0702438354492,8
-75,76.0702438354492,NA
-71.25,76.0702438354492,NA
-67.5,76.0702438354492,NA
-63.75,76.0702438354492,NA
-60,76.0702438354492,NA
-56.25,76.0702438354492,NA
-52.5,76.0702438354492,NA
-48.75,76.0702438354492,NA
-45,76.0702438354492,NA
-41.25,76.0702438354492,NA
-37.5,76.0702438354492,NA
-33.75,76.0702438354492,NA
-30,76.0702438354492,NA
-26.25,76.0702438354492,NA
-22.5,76.0702438354492,NA
-18.75,76.0702438354492,NA
-15,76.0702438354492,NA
